Ortschaftsname;PLZ;Zusatzziffer;Gemeindename;BFS-Nr;Kantonskürzel;E;N;Sprache;Validity
Wittinsburg;4443;00;Wittinsburg;2867;BL;2630176.736;1253229.452;de;2008-07-01
Rümlingen;4444;00;Wittinsburg;2867;BL;2630971.517;1253585.169;de;2008-07-01
Zeglingen;4495;00;Zeglingen;2868;BL;2635539.951;1251328.226;de;2008-07-01
Zunzgen;4455;00;Zunzgen;2869;BL;2626788.591;1254808.646;de;2008-07-01
Arboldswil;4424;00;Arboldswil;2881;BL;2621172.789;1251774.541;de;2008-07-01
Titterten;4425;00;Arboldswil;2881;BL;2619930.089;1251155.059;de;2008-07-01
Bennwil;4431;00;Bennwil;2882;BL;2625938.862;1249349.118;de;2008-07-01
Hölstein;4434;00;Bennwil;2882;BL;2625296.996;1251060.539;de;2008-07-01
Diegten;4457;00;Bennwil;2882;BL;2626977.493;1250007.889;de;2008-07-01
Bretzwil;4207;00;Bretzwil;2883;BL;2616088.607;1249409.285;de;2008-07-01
Känerkinden;4447;00;Diegten;2884;BL;2629250.115;1250933.651;de;2008-07-01
Läufelfingen;4448;00;Diegten;2884;BL;2629486.513;1249861.079;de;2008-07-01
Tenniken;4456;00;Diegten;2884;BL;2626870.813;1252806.771;de;2008-07-01
Diegten;4457;00;Diegten;2884;BL;2628279.020;1251005.890;de;2008-07-01
Eptingen;4458;00;Eptingen;2885;BL;2628563.756;1247701.080;de;2008-07-01
Hölstein;4434;00;Hölstein;2886;BL;2625339.283;1252987.868;de;2008-07-01
Diegten;4457;00;Hölstein;2886;BL;2626468.171;1251584.221;de;2008-07-01
Lampenberg;4432;00;Lampenberg;2887;BL;2623725.198;1253018.229;de;2008-07-01
Langenbruck;4438;00;Langenbruck;2888;BL;2624960.697;1245259.564;de;2008-07-01
Beinwil SO;4229;00;Lauwil;2889;BL;2615794.714;1246558.171;de;2008-07-01
Reigoldswil;4418;00;Lauwil;2889;BL;2618697.719;1247288.004;de;2008-07-01
Lauwil;4426;00;Lauwil;2889;BL;2617059.272;1247784.099;de;2008-07-01
Ramiswil;4719;00;Lauwil;2889;BL;2618565.793;1246781.052;de;2008-07-01
Liedertswil;4436;02;Liedertswil;2890;BL;2621271.388;1248667.152;de;2008-07-01
Arboldswil;4424;00;Niederdorf;2891;BL;2622228.917;1250895.865;de;2008-07-01
Bennwil;4431;00;Niederdorf;2891;BL;2624844.609;1250201.918;de;2008-07-01
Niederdorf;4435;00;Niederdorf;2891;BL;2623571.156;1251339.915;de;2008-07-01
Oberdorf BL;4436;00;Niederdorf;2891;BL;2624791.407;1250675.319;de;2008-07-01
Niederdorf;4435;00;Oberdorf (BL);2892;BL;2623071.385;1250285.504;de;2008-07-01
Oberdorf BL;4436;00;Oberdorf (BL);2892;BL;2623545.493;1249076.192;de;2008-07-01
Liedertswil;4436;02;Oberdorf (BL);2892;BL;2622286.674;1248970.474;de;2008-07-01
Reigoldswil;4418;00;Reigoldswil;2893;BL;2618800.998;1249925.711;de;2008-07-01
Titterten;4425;00;Titterten;2894;BL;2621039.974;1250136.647;de;2008-07-01
Reigoldswil;4418;00;Waldenburg;2895;BL;2619846.065;1247065.350;de;2008-07-01
Waldenburg;4437;00;Waldenburg;2895;BL;2622621.413;1247468.508;de;2008-07-01
Langenbruck;4438;00;Waldenburg;2895;BL;2621765.029;1246594.373;de;2008-07-01
Gächlingen;8214;00;Gächlingen;2901;SH;2679502.410;1284994.012;de;2008-07-01
Gächlingen;8214;00;Gächlingen;2901;SH;2680382.435;1287697.366;de;2008-07-01
Siblingen;8225;00;Gächlingen;2901;SH;2679818.068;1287327.593;de;2008-07-01
Schleitheim;8226;00;Gächlingen;2901;SH;2679934.688;1287834.178;de;2008-07-01
Guntmadingen;8223;00;Löhningen;2903;SH;2683891.137;1283040.220;de;2008-07-01
Löhningen;8224;00;Löhningen;2903;SH;2683066.176;1284489.471;de;2008-07-01
Neunkirch;8213;00;Neunkirch;2904;SH;2680183.453;1281707.981;de;2008-07-01
Wilchingen;8217;00;Neunkirch;2904;SH;2677161.334;1281842.931;de;2008-07-01
Guntmadingen;8223;00;Neunkirch;2904;SH;2682681.874;1282409.807;de;2008-07-01
Löhningen;8224;00;Neunkirch;2904;SH;2681577.903;1283706.985;de;2008-07-01
Schaffhausen;8200;00;Büttenhardt;2914;SH;2689438.878;1288950.874;de;2008-07-01
Büttenhardt;8236;00;Büttenhardt;2914;SH;2690484.253;1290013.476;de;2008-07-01
Dörflingen;8239;00;Dörflingen;2915;SH;2695732.511;1285021.389;de;2008-07-01
Lohn SH;8235;00;Lohn (SH);2917;SH;2692408.137;1290361.094;de;2008-07-01
Stetten SH;8234;00;Stetten (SH);2919;SH;2691329.031;1288104.489;de;2008-07-01
Opfertshofen SH;8236;02;Thayngen;2920;SH;2691675.079;1292057.199;de;2008-07-01
Thayngen;8240;00;Thayngen;2920;SH;2695402.965;1288435.576;de;2008-07-01
Barzheim;8241;00;Thayngen;2920;SH;2695785.052;1290732.881;de;2008-07-01
Bibern SH;8242;00;Thayngen;2920;SH;2692866.238;1291761.983;de;2008-07-01
Hofen SH;8242;01;Thayngen;2920;SH;2692795.046;1293025.446;de;2008-07-01
Altdorf SH;8243;00;Thayngen;2920;SH;2691361.252;1293670.750;de;2008-07-01
Bargen SH;8233;00;Bargen (SH);2931;SH;2686423.582;1294372.306;de;2008-07-01
Beringen;8222;00;Beringen;2932;SH;2685364.753;1283685.788;de;2008-07-01
Guntmadingen;8223;00;Beringen;2932;SH;2683822.024;1281771.150;de;2008-07-01
Buchberg;8454;00;Buchberg;2933;SH;2683700.608;1269239.155;de;2008-07-01
Rüdlingen;8455;00;Buchberg;2933;SH;2683819.019;1271842.471;de;2008-07-01
Merishausen;8232;00;Merishausen;2936;SH;2687251.378;1290911.897;de;2008-07-01
Schaffhausen;8200;00;Neuhausen am Rheinfall;2937;SH;2688973.396;1282835.216;de;2008-07-01
Neuhausen am Rheinfall;8212;00;Neuhausen am Rheinfall;2937;SH;2687598.358;1281558.120;de;2008-07-01
Rüdlingen;8455;00;Rüdlingen;2938;SH;2684821.527;1271281.181;de;2008-07-01
Schaffhausen;8200;00;Schaffhausen;2939;SH;2689092.226;1285903.075;de;2008-07-01
Schaffhausen;8203;00;Schaffhausen;2939;SH;2691832.668;1283954.233;de;2008-07-01
Schaffhausen;8207;00;Schaffhausen;2939;SH;2692595.311;1286602.921;de;2008-07-01
Schaffhausen;8208;00;Schaffhausen;2939;SH;2689849.018;1285273.604;de;2008-07-01
Neuhausen am Rheinfall;8212;00;Schaffhausen;2939;SH;2688716.031;1283436.237;de;2008-07-01
Beringen;8222;00;Schaffhausen;2939;SH;2687554.003;1283307.952;de;2008-07-01
Hemmental;8231;00;Schaffhausen;2939;SH;2685154.874;1288231.841;de;2008-07-01
Schleitheim;8226;00;Beggingen;2951;SH;2680416.686;1290854.714;de;2008-07-01
Beggingen;8228;00;Beggingen;2951;SH;2682546.402;1291170.206;de;2008-07-01
Schleitheim;8226;00;Schleitheim;2952;SH;2679765.575;1289470.118;de;2008-07-01
Siblingen;8225;00;Siblingen;2953;SH;2681178.354;1286037.553;de;2008-07-01
Buch SH;8263;00;Buch (SH);2961;SH;2700991.731;1285928.542;de;2008-07-01
Hemishofen;8261;00;Hemishofen;2962;SH;2705259.991;1282470.235;de;2008-07-01
Ramsen;8262;00;Ramsen;2963;SH;2703623.407;1284910.109;de;2008-07-01
Stein am Rhein;8260;00;Stein am Rhein;2964;SH;2706498.691;1280374.680;de;2008-07-01
Hallau;8215;00;Hallau;2971;SH;2675146.454;1283908.417;de;2008-07-01
Oberhallau;8216;00;Oberhallau;2972;SH;2677573.045;1285360.763;de;2008-07-01
Wilchingen;8217;00;Trasadingen;2973;SH;2675752.263;1279057.298;de;2008-07-01
Trasadingen;8219;00;Trasadingen;2973;SH;2674098.558;1280274.758;de;2008-07-01
Wilchingen;8217;00;Wilchingen;2974;SH;2676536.685;1280018.365;de;2008-07-01
Wilchingen;8217;00;Wilchingen;2974;SH;2681116.118;1278917.336;de;2008-07-01
Osterfingen;8218;00;Wilchingen;2974;SH;2679104.770;1279055.570;de;2008-07-01
Herisau;9100;00;Herisau;3001;AR;2739613.052;1249249.526;de;2008-07-01
Schachen b. Herisau;9112;00;Herisau;3001;AR;2735708.743;1249200.115;de;2008-07-01
Gossau SG;9200;00;Herisau;3001;AR;2735402.414;1251116.622;de;2008-07-01
Stein AR;9063;00;Hundwil;3002;AR;2744153.911;1246757.541;de;2008-07-01
Hundwil;9064;00;Hundwil;3002;AR;2742220.778;1246655.816;de;2008-07-01
Urnäsch;9107;00;Hundwil;3002;AR;2742083.179;1236743.778;de;2008-07-01
Gonten;9108;00;Hundwil;3002;AR;2742815.179;1243991.611;de;2008-07-01
Schönengrund;9105;00;Schönengrund;3003;AR;2734960.432;1243232.500;de;2008-07-01
Urnäsch;9107;00;Schönengrund;3003;AR;2737048.565;1243354.971;de;2008-07-01
Herisau;9100;00;Schwellbrunn;3004;AR;2736410.653;1247808.488;de;2008-07-01
Schwellbrunn;9103;00;Schwellbrunn;3004;AR;2735667.484;1246039.833;de;2008-07-01
Waldstatt;9104;00;Schwellbrunn;3004;AR;2738290.224;1245209.796;de;2008-07-01
Schönengrund;9105;00;Schwellbrunn;3004;AR;2736328.921;1243904.452;de;2008-07-01
Degersheim;9113;00;Schwellbrunn;3004;AR;2733052.795;1246741.266;de;2008-07-01
St. Gallen;9014;00;Stein (AR);3005;AR;2742588.133;1251693.878;de;2008-07-01
Stein AR;9063;00;Stein (AR);3005;AR;2743883.776;1248971.403;de;2008-07-01
Schwellbrunn;9103;00;Urnäsch;3006;AR;2738559.000;1244905.545;de;2008-07-01
Waldstatt;9104;00;Urnäsch;3006;AR;2738943.407;1245036.967;de;2008-07-01
Urnäsch;9107;00;Urnäsch;3006;AR;2739022.911;1240954.473;de;2008-07-01
Herisau;9100;00;Waldstatt;3007;AR;2738172.723;1246802.207;de;2008-07-01
Schwellbrunn;9103;00;Waldstatt;3007;AR;2738132.759;1246493.834;de;2008-07-01
Waldstatt;9104;00;Waldstatt;3007;AR;2739621.240;1246662.585;de;2008-07-01
Trogen;9043;00;Bühler;3021;AR;2751734.536;1250758.204;de;2008-07-01
Bühler;9055;00;Bühler;3021;AR;2750072.765;1249376.239;de;2008-07-01
Bühler;9055;00;Gais;3022;AR;2751320.082;1249327.670;de;2008-07-01
Gais;9056;00;Gais;3022;AR;2752939.020;1248506.623;de;2008-07-01
Altstätten SG;9450;00;Gais;3022;AR;2755814.749;1250527.561;de;2008-07-01
Speicherschwendi;9037;00;Speicher;3023;AR;2751004.917;1254847.606;de;2008-07-01
Speicher;9042;00;Speicher;3023;AR;2751139.526;1252647.595;de;2008-07-01
St. Gallen;9012;00;Teufen (AR);3024;AR;2745761.985;1252435.637;de;2008-07-01
Speicher;9042;00;Teufen (AR);3024;AR;2750685.038;1251267.719;de;2008-07-01
Niederteufen;9052;00;Teufen (AR);3024;AR;2745319.516;1250837.910;de;2008-07-01
Teufen AR;9053;00;Teufen (AR);3024;AR;2748131.146;1250588.121;de;2008-07-01
Bühler;9055;00;Teufen (AR);3024;AR;2748191.793;1249413.065;de;2008-07-01
Lustmühle;9062;00;Teufen (AR);3024;AR;2744588.362;1251481.486;de;2008-07-01
Trogen;9043;00;Trogen;3025;AR;2754271.691;1252087.518;de;2008-07-01
Grub AR;9035;00;Grub (AR);3031;AR;2755965.695;1256638.395;de;2008-07-01
Rehetobel;9038;00;Grub (AR);3031;AR;2756514.194;1255630.572;de;2008-07-01
Grub SG;9036;00;Heiden;3032;AR;2757651.140;1258272.889;de;2008-07-01
Rehetobel;9038;00;Heiden;3032;AR;2756810.437;1255357.220;de;2008-07-01
Heiden;9410;00;Heiden;3032;AR;2758382.695;1258081.728;de;2008-07-01
Oberegg;9413;00;Heiden;3032;AR;2758891.605;1255501.464;de;2008-07-01
Wolfhalden;9427;00;Heiden;3032;AR;2758904.424;1258915.729;de;2008-07-01
Wienacht-Tobel;9405;00;Lutzenberg;3033;AR;2758048.285;1259187.701;de;2008-07-01
Lutzenberg;9426;00;Lutzenberg;3033;AR;2761051.042;1258566.053;de;2008-07-01
Wolfhalden;9427;00;Lutzenberg;3033;AR;2760218.304;1258331.818;de;2008-07-01
Eggersriet;9034;00;Rehetobel;3034;AR;2753013.767;1255944.906;de;2008-07-01
Speicherschwendi;9037;00;Rehetobel;3034;AR;2751948.446;1255296.775;de;2008-07-01
Rehetobel;9038;00;Rehetobel;3034;AR;2754434.322;1254949.407;de;2008-07-01
Reute AR;9411;00;Reute (AR);3035;AR;2760399.793;1252375.131;de;2008-07-01
Schachen b. Reute;9411;01;Reute (AR);3035;AR;2760341.795;1254898.098;de;2008-07-01
Marbach SG;9437;00;Reute (AR);3035;AR;2759944.076;1251774.388;de;2008-07-01
Trogen;9043;00;Wald (AR);3036;AR;2755430.307;1252626.441;de;2008-07-01
Wald AR;9044;00;Wald (AR);3036;AR;2755486.125;1253563.432;de;2008-07-01
Wolfhalden;9427;00;Walzenhausen;3037;AR;2760474.121;1256514.432;de;2008-07-01
Walzenhausen;9428;00;Walzenhausen;3037;AR;2763555.035;1257177.727;de;2008-07-01
Heiden;9410;00;Wolfhalden;3038;AR;2759555.831;1256381.640;de;2008-07-01
Thal;9425;00;Wolfhalden;3038;AR;2759962.029;1259084.173;de;2008-07-01
Wolfhalden;9427;00;Wolfhalden;3038;AR;2760298.710;1257689.124;de;2008-07-01
Walzenhausen;9428;00;Wolfhalden;3038;AR;2760918.920;1257073.289;de;2008-07-01
Appenzell;9050;00;Appenzell;3101;AI;2748935.917;1243199.212;de;2008-07-01
Appenzell Meistersrüte;9050;05;Appenzell;3101;AI;2750573.687;1246247.713;de;2009-01-01
Appenzell Schlatt;9050;07;Appenzell;3101;AI;2749412.697;1246883.834;de;2009-01-01
Gais;9056;00;Appenzell;3101;AI;2752356.037;1246362.558;de;2008-07-01
Appenzell;9050;00;Gonten;3102;AI;2747160.797;1245138.973;de;2008-07-01
Gonten;9108;00;Gonten;3102;AI;2744172.301;1243849.384;de;2008-07-01
Gontenbad;9108;02;Gonten;3102;AI;2745948.277;1243422.118;de;2009-01-01
Jakobsbad;9108;03;Gonten;3102;AI;2743228.744;1241374.488;de;2009-01-01
Appenzell;9050;00;Schlatt-Haslen;3104;AI;2747515.920;1245950.436;de;2008-07-01
Appenzell Enggenhütten;9050;03;Schlatt-Haslen;3104;AI;2745137.950;1246086.157;de;2009-01-01
Appenzell Schlatt;9050;07;Schlatt-Haslen;3104;AI;2748235.491;1246929.924;de;2009-01-01
Niederteufen;9052;00;Schlatt-Haslen;3104;AI;2745254.437;1250183.543;de;2008-07-01
Teufen AR;9053;00;Schlatt-Haslen;3104;AI;2747693.317;1249060.067;de;2008-07-01
Haslen AI;9054;00;Schlatt-Haslen;3104;AI;2746791.888;1248336.385;de;2008-07-01
Bühler;9055;00;Schlatt-Haslen;3104;AI;2748146.087;1248590.161;de;2008-07-01
Gais;9056;00;Schlatt-Haslen;3104;AI;2750443.115;1247834.548;de;2008-07-01
Gonten;9108;00;Schlatt-Haslen;3104;AI;2744145.435;1245482.369;de;2008-07-01
Oberegg;9413;00;Oberegg;3111;AI;2759168.350;1253512.434;de;2008-07-01
Oberegg;9413;00;Oberegg;3111;AI;2761543.220;1254726.139;de;2008-07-01
Wolfhalden;9427;00;Oberegg;3111;AI;2760516.288;1256277.187;de;2008-07-01
Walzenhausen;9428;00;Oberegg;3111;AI;2761808.975;1255889.623;de;2008-07-01
Berneck;9442;00;Oberegg;3111;AI;2763156.399;1253738.190;de;2008-07-01
Büriswilen;9442;02;Oberegg;3111;AI;2763014.286;1255757.147;de;2009-01-01
Lüchingen;9450;02;Oberegg;3111;AI;2759288.238;1251773.181;de;2008-07-01
Appenzell;9050;00;Schwende-Rüte;3112;AI;2748937.696;1241793.317;de;2008-07-01
Appenzell Eggerstanden;9050;02;Schwende-Rüte;3112;AI;2753940.019;1244490.364;de;2009-01-01
Appenzell Meistersrüte;9050;05;Schwende-Rüte;3112;AI;2752304.493;1245435.334;de;2009-01-01
Appenzell Steinegg;9050;06;Schwende-Rüte;3112;AI;2752471.011;1243132.915;de;2009-01-01
Weissbad;9057;00;Schwende-Rüte;3112;AI;2746140.200;1239209.072;de;2008-07-01
Schwende;9057;02;Schwende-Rüte;3112;AI;2750911.958;1240321.317;de;2008-07-01
Wasserauen;9057;03;Schwende-Rüte;3112;AI;2747703.293;1236406.612;de;2009-01-01
Brülisau;9058;00;Schwende-Rüte;3112;AI;2752668.767;1238042.954;de;2008-07-01
Urnäsch;9107;00;Schwende-Rüte;3112;AI;2743018.889;1238328.526;de;2008-07-01
Gonten;9108;00;Schwende-Rüte;3112;AI;2745031.062;1240215.048;de;2008-07-01
Frümsen;9467;00;Schwende-Rüte;3112;AI;2752463.167;1236387.717;de;2008-07-01
Lömmenschwil;9308;00;Häggenschwil;3201;SG;2743338.835;1262923.269;de;2008-07-01
Häggenschwil;9312;00;Häggenschwil;3201;SG;2742949.413;1261640.024;de;2008-07-01
Winden;9315;02;Häggenschwil;3201;SG;2744447.385;1263946.091;de;2008-07-01
Hagenwil b. Amriswil;8580;05;Muolen;3202;SG;2741458.530;1266002.854;de;2008-07-01
Bischofszell;9220;00;Muolen;3202;SG;2738576.924;1263700.591;de;2008-07-01
Lömmenschwil;9308;00;Muolen;3202;SG;2742440.753;1263275.418;de;2008-07-01
Muolen;9313;00;Muolen;3202;SG;2741720.381;1264742.942;de;2008-07-01
St. Gallen;9000;00;St. Gallen;3203;SG;2745132.902;1254315.432;de;2008-07-01
St. Gallen;9008;00;St. Gallen;3203;SG;2747317.029;1256391.438;de;2008-07-01
St. Gallen;9010;00;St. Gallen;3203;SG;2745797.104;1256400.894;de;2008-07-01
St. Gallen;9011;00;St. Gallen;3203;SG;2747955.126;1253398.615;de;2008-07-01
St. Gallen;9012;00;St. Gallen;3203;SG;2745062.856;1252828.907;de;2008-07-01
St. Gallen;9014;00;St. Gallen;3203;SG;2743153.548;1252668.271;de;2008-07-01
St. Gallen;9015;00;St. Gallen;3203;SG;2741148.495;1252744.961;de;2008-07-01
St. Gallen;9016;00;St. Gallen;3203;SG;2749057.972;1256260.280;de;2008-07-01
Abtwil SG;9030;00;St. Gallen;3203;SG;2742806.767;1253820.852;de;2008-07-01
Speicherschwendi;9037;00;St. Gallen;3203;SG;2750159.325;1254564.982;de;2008-07-01
Speicher;9042;00;St. Gallen;3203;SG;2750051.282;1253607.712;de;2008-07-01
Wittenbach;9300;00;St. Gallen;3203;SG;2747759.437;1257460.483;de;2008-07-01
St. Gallen;9008;00;Wittenbach;3204;SG;2747357.160;1256859.645;de;2008-07-01
Wittenbach;9300;00;Wittenbach;3204;SG;2746686.464;1259034.362;de;2008-07-01
Lömmenschwil;9308;00;Wittenbach;3204;SG;2744772.776;1262041.844;de;2008-07-01
Wittenbach;9300;00;Berg (SG);3211;SG;2747082.681;1260107.403;de;2008-07-01
Berg SG;9305;00;Berg (SG);3211;SG;2748778.323;1261544.190;de;2008-07-01
Freidorf TG;9306;00;Berg (SG);3211;SG;2746348.818;1260765.214;de;2008-07-01
Eggersriet;9034;00;Eggersriet;3212;SG;2752734.026;1256480.980;de;2008-07-01
Grub AR;9035;00;Eggersriet;3212;SG;2755357.683;1256896.718;de;2008-07-01
Grub SG;9036;00;Eggersriet;3212;SG;2756536.253;1258007.032;de;2008-07-01
Speicherschwendi;9037;00;Eggersriet;3212;SG;2751810.977;1255410.375;de;2008-07-01
Wienacht-Tobel;9405;00;Eggersriet;3212;SG;2757529.460;1259174.656;de;2008-07-01
Rorschach;9400;00;Goldach;3213;SG;2754068.144;1260173.716;de;2008-07-01
Goldach;9403;00;Goldach;3213;SG;2752631.058;1260178.171;de;2008-07-01
Tübach;9327;00;Mörschwil;3214;SG;2751163.168;1261016.936;de;2008-07-01
Mörschwil;9402;00;Mörschwil;3214;SG;2749930.211;1259279.699;de;2008-07-01
Rorschach;9400;00;Rorschach;3215;SG;2754910.474;1260325.132;de;2008-07-01
Rorschacherberg;9404;00;Rorschacherberg;3216;SG;2755458.912;1259310.501;de;2008-07-01
Wienacht-Tobel;9405;00;Rorschacherberg;3216;SG;2757587.841;1259321.882;de;2008-07-01
Staad SG;9422;00;Rorschacherberg;3216;SG;2757552.295;1260883.114;de;2008-07-01
Berg SG;9305;00;Steinach;3217;SG;2749402.824;1261976.180;de;2008-07-01
Steinach;9323;00;Steinach;3217;SG;2750473.706;1262377.631;de;2008-07-01
Horn;9326;00;Tübach;3218;SG;2751638.476;1261904.269;de;2008-07-01
Tübach;9327;00;Tübach;3218;SG;2751893.568;1260876.958;de;2008-07-01
Untereggen;9033;00;Untereggen;3219;SG;2752190.253;1257730.873;de;2008-07-01
Rorschacherberg;9404;00;Untereggen;3219;SG;2753899.856;1258145.197;de;2008-07-01
Au SG;9434;00;Au (SG);3231;SG;2765965.787;1255690.667;de;2008-07-01
Heerbrugg;9435;00;Au (SG);3231;SG;2765157.836;1253645.230;de;2008-07-01
Heerbrugg;9435;00;Balgach;3232;SG;2764612.194;1253273.967;de;2008-07-01
Balgach;9436;00;Balgach;3232;SG;2764139.444;1251570.141;de;2008-07-01
Rebstein;9445;00;Balgach;3232;SG;2762121.810;1253055.958;de;2008-07-01
Reute AR;9411;00;Berneck;3233;SG;2762644.797;1254378.712;de;2008-07-01
Au SG;9434;00;Berneck;3233;SG;2765217.077;1255876.482;de;2008-07-01
Heerbrugg;9435;00;Berneck;3233;SG;2764863.265;1253920.177;de;2008-07-01
Berneck;9442;00;Berneck;3233;SG;2763721.427;1254987.268;de;2008-07-01
Büriswilen;9442;02;Berneck;3233;SG;2764123.993;1256034.732;de;2009-01-01
Balgach;9436;00;Diepoldsau;3234;SG;2765004.199;1250264.593;de;2008-07-01
Widnau;9443;00;Diepoldsau;3234;SG;2765131.188;1251349.328;de;2008-07-01
Diepoldsau;9444;00;Diepoldsau;3234;SG;2766762.688;1250114.612;de;2008-07-01
Rheineck;9424;00;Rheineck;3235;SG;2762014.474;1259549.916;de;2008-07-01
Thal;9425;00;Rheineck;3235;SG;2761079.283;1259623.889;de;2008-07-01
Lutzenberg;9426;00;Rheineck;3235;SG;2761220.422;1259091.286;de;2008-07-01
Rheineck;9424;00;St. Margrethen;3236;SG;2762600.111;1258906.269;de;2008-07-01
Walzenhausen;9428;00;St. Margrethen;3236;SG;2765367.111;1256888.626;de;2008-07-01
St. Margrethen SG;9430;00;St. Margrethen;3236;SG;2764910.796;1258332.529;de;2008-07-01
Rorschacherberg;9404;00;Thal;3237;SG;2757722.610;1260110.808;de;2008-07-01
Staad SG;9422;00;Thal;3237;SG;2759014.781;1260644.518;de;2008-07-01
Altenrhein;9423;00;Thal;3237;SG;2759877.925;1262289.998;de;2008-07-01
Thal;9425;00;Thal;3237;SG;2760364.444;1260210.418;de;2008-07-01
Heerbrugg;9435;00;Widnau;3238;SG;2764993.855;1252810.384;de;2008-07-01
Widnau;9443;00;Widnau;3238;SG;2765718.770;1252402.325;de;2008-07-01
Brülisau;9058;00;Altstätten;3251;SG;2754810.604;1238968.803;de;2008-07-01
Altstätten SG;9450;00;Altstätten;3251;SG;2759209.684;1248644.059;de;2008-07-01
Lüchingen;9450;02;Altstätten;3251;SG;2759442.700;1251109.056;de;2008-07-01
Hinterforst;9452;00;Altstätten;3251;SG;2758190.692;1247847.916;de;2008-07-01
Eichberg;9453;00;Altstätten;3251;SG;2758762.940;1246006.541;de;2008-07-01
Oberriet SG;9463;00;Altstätten;3251;SG;2758636.228;1244693.206;de;2008-07-01
Rüthi (Rheintal);9464;00;Altstätten;3251;SG;2757549.222;1239702.490;de;2008-07-01
Lienz;9464;02;Altstätten;3251;SG;2756978.886;1239100.923;de;2008-07-01
Hinterforst;9452;00;Eichberg;3252;SG;2757824.128;1247420.487;de;2008-07-01
Eichberg;9453;00;Eichberg;3252;SG;2757468.912;1245887.201;de;2008-07-01
Marbach SG;9437;00;Marbach (SG);3253;SG;2761727.574;1250378.889;de;2008-07-01
Balgach;9436;00;Oberriet (SG);3254;SG;2764800.982;1249547.385;de;2008-07-01
Kriessern;9451;00;Oberriet (SG);3254;SG;2763899.214;1248274.475;de;2008-07-01
Montlingen;9462;00;Oberriet (SG);3254;SG;2762035.538;1245507.345;de;2008-07-01
Oberriet SG;9463;00;Oberriet (SG);3254;SG;2758714.403;1243751.464;de;2008-07-01
Marbach SG;9437;00;Rebstein;3255;SG;2760905.125;1252061.385;de;2008-07-01
Rebstein;9445;00;Rebstein;3255;SG;2762265.032;1252238.769;de;2008-07-01
Oberriet SG;9463;00;Rüthi (SG);3256;SG;2759402.761;1241525.394;de;2008-07-01
Rüthi (Rheintal);9464;00;Rüthi (SG);3256;SG;2758407.072;1239961.671;de;2008-07-01
Lienz;9464;02;Rüthi (SG);3256;SG;2757643.396;1239402.988;de;2008-07-01
Haag (Rheintal);9469;00;Buchs (SG);3271;SG;2754922.893;1229386.708;de;2008-07-01
Buchs SG;9470;00;Buchs (SG);3271;SG;2754443.238;1225804.460;de;2008-07-01
Gams;9473;00;Gams;3272;SG;2751543.811;1231214.326;de;2008-07-01
Wildhaus;9658;00;Gams;3272;SG;2747980.809;1229648.921;de;2008-07-01
Haag (Rheintal);9469;00;Grabs;3273;SG;2754345.325;1229205.634;de;2008-07-01
Buchs SG;9470;00;Grabs;3273;SG;2753722.256;1226954.542;de;2008-07-01
Werdenberg;9470;05;Grabs;3273;SG;2752983.732;1226366.466;de;2008-07-01
Grabs;9472;00;Grabs;3273;SG;2752338.727;1227693.189;de;2008-07-01
Grabserberg;9472;02;Grabs;3273;SG;2746712.720;1225549.697;de;2008-07-01
Wildhaus;9658;00;Grabs;3273;SG;2744124.195;1226766.109;de;2008-07-01
Salez;9465;00;Sennwald;3274;SG;2755865.589;1233630.074;de;2008-07-01
Sennwald;9466;00;Sennwald;3274;SG;2756269.948;1236684.020;de;2008-07-01
Frümsen;9467;00;Sennwald;3274;SG;2753775.086;1235556.643;de;2008-07-01
Sax;9468;00;Sennwald;3274;SG;2750892.458;1233712.514;de;2008-07-01
Haag (Rheintal);9469;00;Sennwald;3274;SG;2755191.804;1230618.269;de;2008-07-01
Gams;9473;00;Sennwald;3274;SG;2753997.218;1231792.821;de;2008-07-01
Buchs SG;9470;00;Sevelen;3275;SG;2752225.173;1223647.179;de;2008-07-01
Sevelen;9475;00;Sevelen;3275;SG;2752910.580;1222181.174;de;2008-07-01
Weite;9476;00;Sevelen;3275;SG;2755859.326;1219696.119;de;2008-07-01
Sargans;7320;00;Wartau;3276;SG;2754404.167;1214943.936;de;2008-07-01
Weite;9476;00;Wartau;3276;SG;2756406.212;1218245.267;de;2008-07-01
Fontnas;9476;02;Wartau;3276;SG;2755623.631;1217548.488;de;2008-07-01
Trübbach;9477;00;Wartau;3276;SG;2755615.834;1215853.019;de;2008-07-01
Azmoos;9478;00;Wartau;3276;SG;2751337.721;1217355.986;de;2008-07-01
Oberschan;9479;00;Wartau;3276;SG;2753303.340;1218784.971;de;2008-07-01
Malans SG;9479;01;Wartau;3276;SG;2754712.504;1217479.619;de;2008-07-01
Gretschins;9479;02;Wartau;3276;SG;2755434.390;1218219.437;de;2008-07-01
Bad Ragaz;7310;00;Bad Ragaz;3291;SG;2754685.088;1208302.991;de;2008-07-01
Valens;7317;00;Bad Ragaz;3291;SG;2755427.058;1206881.019;de;2008-07-01
Heiligkreuz (Mels);8888;00;Flums;3292;SG;2748307.314;1215407.694;de;2008-07-01
Flums;8890;00;Flums;3292;SG;2744346.791;1217526.316;de;2008-07-01
Flums Hochwiese;8893;00;Flums;3292;SG;2747337.060;1216630.644;de;2008-07-01
